Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1,780.0511315898337,81.19053420533277,90.20784388567577,0.2711365408485991,0.017450281803519693,0.4465929954552431,0.00020304071826281173,0.7142263132553105,0.9447606162237554,1.0636155455200078,0.1912883305744223,0.47302747270835116,1170.7523079132038,32.56272310741176,0.0,1.283829900851237e-07,0.5140000000000458,0.34007137592500986
2,723.9687826964524,35.76707472003739,102.86192295524965,0.24087392208481043,0.01327931468153556,0.19673640254535416,0.0002891832334894506,0.3440271015307707,0.9543518497869387,0.9722888004704326,0.10803845411787741,0.17324234985586584,1182.6335596289198,10.35142538815131,0.0,1.7987349244984345e-07,0.5140000000000458,0.3253958497442886
3,678.0575828974764,18.076763915950856,119.93428849307621,0.21588054738254947,0.009585358524400948,0.09942913307952414,5.289333312146225e-05,0.19766401499878156,0.9592516462338253,0.9588964664496155,0.12059222513404866,0.1336184509051673,1188.704625213799,10.378104750218462,0.0,2.149644633076689e-08,0.5140000000000458,0.30989317033721775
4,644.7220341374656,10.922766127756859,138.72030089587685,0.2006948330846577,0.00710899381354938,0.06007812741117358,6.850244392088688e-05,0.13532503714060704,0.9625691826456267,0.9927315828959595,0.13325232689999958,0.10676198439991691,1192.8169879011446,10.689755378389659,0.0,2.6181085353737448e-08,0.5140000000000458,0.3030238799257542
5,620.9475702222777,7.8382611225387295,152.06539806319608,0.20322811444127428,0.005973286897079131,0.043111518102371155,0.00031241266504825673,0.10968678845303544,0.9682509639465945,0.9784659002043731,0.1498708639110423,0.09345304229414636,1199.8570201449659,10.69921969809839,0.0,1.274006504539121e-07,0.5140000000000458,0.3171984285119411
6,600.1917412375204,7.225271842938696,163.7869404533967,0.21598255351704865,0.006057489908080286,0.03973868476015443,0.0003968220399717025,0.11740872227508285,0.972860868958807,0.9882957013152724,0.16514712819889363,0.09316430159995558,1205.5698319317712,10.127621127315889,0.0,1.385409415413848e-07,0.5140000000000458,0.3524978325207264
7,579.5944670492123,8.17631197291728,174.72546360411104,0.19342537739925808,0.00583658655107478,0.04496936463442343,0.00018811536843008,0.1328627035871942,0.9737028259428118,0.9475414934929669,0.1479963731458046,0.08556582672737378,1206.6114518528093,9.233530419239619,0.0,5.752855955971011e-08,0.5140000000000458,0.32437386949946456
8,562.1930427781322,8.895720427098668,180.74814272857557,0.1898998276242065,0.006026991736637065,0.04892553534035255,0.00013010733625346888,0.15134475476976542,0.9738775196455757,0.9912581558680605,0.14682399906125243,0.08557247614581438,1206.829746537979,8.640401765726669,0.0,3.770471692433786e-08,0.5140000000000458,0.32393515416542185
9,544.8151754221287,10.05301884514934,182.5892900903116,0.17259277842285506,0.005868638138367191,0.0552911550226339,0.00032418901147946046,0.1635679839594055,0.9732139073244216,0.9621097088869568,0.1332370132099316,0.08003777473389262,1206.006211281486,7.991486255180424,0.0,1.0187725111443705e-07,0.5140000000000458,0.31437294573302915
10,527.6427790016565,11.169113935932083,178.81513912933005,0.17993458646773375,0.006470658550761253,0.061429140470992426,0.0005028050128033329,0.1878070191215384,0.9737003407254403,0.9936038774422151,0.13777776791656898,0.0843370648491351,1206.6102915410006,7.357395195964603,0.0,1.719957853361525e-07,0.5140000000000458,0.3328531304363656
11,509.03659495709604,12.71064905586748,170.15377211727932,0.17841233197894701,0.0068446734952021535,0.06990795641748013,0.0010668337935585712,0.2073844754644422,0.9740688986379159,0.9608106746876638,0.13448186124182407,0.08453723246885426,1207.0656267661086,6.676798164332659,0.0,4.596342261044239e-07,0.5140000000000458,0.3357922381013526
12,492.1648833374393,12.742325380922141,164.4296911137697,0.16341695181652097,0.006280286524453003,0.07008312715851543,6.890142824908421e-05,0.19602892297305366,0.9712707354482603,0.9733770478912578,0.12681776512064136,0.07714621397456987,1203.5987831305101,6.410403398048102,0.0,2.043917636228038e-08,0.5140000000000458,0.31804593428134914
13,476.5706556580052,12.23821901405859,157.0484806321392,0.16370871563061135,0.006171683614363035,0.06731077668526093,0.0001327549217780353,0.18518373051584047,0.971232274773449,0.9639511268671863,0.1290080638829456,0.07469669258820093,1203.5507315180976,6.098291952411036,0.0,4.2633017677904996e-08,0.5140000000000458,0.3318733720409383
14,463.9766302155445,10.404151637581212,156.61836918497394,0.15037828928836722,0.005203534461434867,0.057224067150977685,0.0008742724903744563,0.14812306835496739,0.9692531542441694,0.9667736573806659,0.12503792495292318,0.0648471885630602,1201.098405427,6.118510032205687,0.0,3.8933318364325615e-07,0.5140000000000458,0.32220330446337203
15,454.09093170184553,8.639050369571104,159.40403982212243,0.13758611336499196,0.004302244211378929,0.04751601423759714,8.270727294307724e-05,0.12033514771849786,0.9677398192142938,0.9634537851448485,0.12097868525265967,0.055621315636948616,1199.223005385603,6.233965394107848,0.0,2.7650582412399467e-08,0.5140000000000458,0.29666990398629534
16,447.6919073273909,7.032231253611893,161.20729413663437,0.14273735080299302,0.003935218490998188,0.038677901458274724,5.3223579481432405e-05,0.10265918763534726,0.9695173414622176,0.9760415794420269,0.13018818393161358,0.05220905336244568,1201.4261613832298,6.2892903320698625,0.0,1.6242502763054688e-08,0.5140000000000458,0.30528716837262104
17,441.8609291287922,6.394264051445069,164.30583262321503,0.14344694593040744,0.0037267794249286196,0.03516881343175656,0.00029792822825018957,0.09597968959344096,0.9706718550578685,0.9699111325445937,0.13313481549221767,0.04977860797236391,1202.8565310909462,6.2577552775323655,0.0,1.1086466516584419e-07,0.5140000000000458,0.31640846463230865
18,437.6900998436775,5.864694286412583,167.9301109461414,0.1443538641321883,0.0035380938863005056,0.0322559065457541,0.0002571920286733434,0.09106295811286476,0.9716961983325162,0.9766409001756161,0.13646104172287635,0.04778876574752756,1204.1261350028967,6.25802273998494,0.0,9.384637048461257e-08,0.5140000000000458,0.31833411310703624
19,433.6501076837461,5.830549170337289,172.8478885713123,0.13375583389412102,0.003268279965482471,0.032068229072981326,4.6348416228578375e-05,0.08902233395846164,0.9710603145051411,0.9579375038179754,0.12823504060424534,0.04444692028528517,1203.3373949509903,6.249150739530706,0.0,1.2682779999999597e-08,0.5140000000000458,0.29938447540685376
20,430.3533944294988,5.912594451295372,173.0418975961137,0.15241819706700502,0.003758345013423783,0.0325187351451041,0.00032267794868391685,0.09957253599213367,0.9738261354472014,0.9924720758649378,0.14358481596398306,0.04989389051266072,1206.7661239603556,6.053142201518895,0.0,1.0671696241207444e-07,0.5140000000000458,0.3414761066571771
21,426.4949911382171,6.080150284305731,180.14299354212636,0.12162903199590451,0.003053566456519411,0.03344117118742135,2.3205219870617527e-05,0.09124959572794161,0.9698843938212169,0.9585040634281362,0.11875029645301123,0.04174924343363754,1201.8802666428094,6.176809643727056,0.0,5.775405066308403e-09,0.5140000000000458,0.28221764891657103
22,424.08550181158455,5.93616708113899,181.84139490629036,0.12446894873463492,0.0030792739831280395,0.032649055390202984,0.0001285798203037473,0.09158189616512677,0.9704193336980658,0.9690895489183198,0.12183725637837052,0.042027478804389576,1202.5435829109492,6.146324096021998,0.0,3.916109713344774e-08,0.5140000000000458,0.2933534339689121
23,421.77668997888765,6.015216596921945,180.23389932740122,0.1401318393809461,0.0034925645170507053,0.03308326180991246,0.00043388958962761563,0.0998780757152399,0.9734086579340293,0.9886916556260605,0.1344375108917868,0.04654703019055516,1206.248645703422,5.936628009799755,0.0,1.4529884952379646e-07,0.5140000000000458,0.3249970683277529
24,418.3440594013617,6.515967601355027,182.29318300211384,0.127030840522246,0.0033381839209914847,0.035837741411379735,3.431076678111969e-05,0.10339588754047387,0.9721325716379577,0.9562465674425988,0.1218582900215559,0.04422720527208009,1204.6660208569149,5.85216872618707,0.0,8.686256436249572e-09,0.5140000000000458,0.29515973736695844
25,415.8073566172942,6.542612306264374,182.69350481840272,0.1290258089139102,0.0034024373871364847,0.03598412465360755,9.01528653624483e-05,0.10584177969462152,0.9719511187526088,0.97972080159122,0.1243041691607403,0.04504658738874726,1204.4421500950239,5.82541377947095,0.0,2.4525243015420497e-08,0.5140000000000458,0.30556198591319284
26,412.5723593025918,6.871591698797722,181.91124551195188,0.12580256283174673,0.003422344554759718,0.037793638797079476,5.4729784680132866e-05,0.10942240248154501,0.9718571677770844,0.9683018076100108,0.12068751087912376,0.04488711748720595,1204.3252541693535,5.706952941818584,0.0,1.4081145557560976e-08,0.5140000000000458,0.29958701979578733
27,409.0549203842596,7.280519980527605,178.40230322713944,0.13692447403120872,0.003867035652710813,0.04004232329837543,0.00025725236502647185,0.12109664767584934,0.9733806395181533,0.9798620797075966,0.12819026232230687,0.049160815831132305,1206.213558550912,5.48959461143008,0.0,8.063600658153425e-08,0.5140000000000458,0.3275017139797321
28,403.87410170875023,8.037012857276974,176.3038520543788,0.12739763055590533,0.0038171803041057535,0.04420351182444863,6.055849373845256e-05,0.12702996822302282,0.9718065059774069,0.9714778820238996,0.11916160478880336,0.04810456780773515,1204.262608514537,5.351104856259728,0.0,1.6933558530416958e-08,0.5140000000000458,0.30522427506919725
29,399.970394253753,7.758968054502765,175.02062870151968,0.11970535343251412,0.00351322765380367,0.04267470639024013,5.449110576263169e-05,0.11716400714394687,0.970420079295971,0.9601360572242909,0.11407511774410663,0.04480145411797343,1202.5441337626496,5.365837153583636,0.0,1.5656671433442724e-08,0.5140000000000458,0.29254003438980464
30,397.186668133752,7.140722348676385,173.2057604609171,0.1224092601351839,0.0034114885588712013,0.039274293010653286,0.0003154426409349494,0.10822149670852628,0.9708988794541888,0.9640013885670777,0.1179561473978684,0.043797723188293586,1203.137604024176,5.360366766777441,0.0,1.0891639469281508e-07,0.5140000000000458,0.30506366586485667
31,393.85651020013637,7.111265266098757,170.22584941847984,0.13301851221460145,0.0036968727952119075,0.03911176157973408,6.956890227395876e-05,0.11420877927587804,0.9724486670174203,0.9876248141388145,0.126822201111458,0.04670078684012247,1205.0590205074411,5.217323723721556,0.0,1.9783188430202763e-08,0.5140000000000458,0.32011986598751807
32,390.43090323002906,7.086918409260135,169.39698554400962,0.1288422869599953,0.0035734413673948794,0.03897814810744262,0.0008781115545492783,0.1101585757469078,0.972049249897855,0.971506499809224,0.12345216045531936,0.04510698276621801,1204.5634078588282,5.169280328030713,0.0,3.4666556327305125e-07,0.5140000000000458,0.32687604797336645
33,387.4637375171425,6.8811077774092775,169.59334243176238,0.12252313150850459,0.0033372798403718366,0.03784635035782595,0.00015589212523675733,0.10492101670954103,0.9712173508307346,0.9549441761917443,0.11899470877248453,0.042486799003497326,1203.5318631004968,5.181840724333027,0.0,4.9937145215755646e-08,0.5140000000000458,0.31110882077853924
34,384.4831480241461,6.862393638440071,165.8944209891296,0.13828727389645185,0.0037574438877611056,0.037742972403063894,0.0032949587327595594,0.11023841494747584,0.9733033828281393,0.9872781188904111,0.13194489260644826,0.04676945105036408,1206.1181342813015,5.017431032811837,0.0,1.5879537497703603e-06,0.5140000000000458,0.36084458061632774
35,380.8445409859577,7.03938510442075,165.8983023762559,0.12913156302093412,0.003567714485071369,0.038716632251604016,0.00027577071578680054,0.1104421934691316,0.9720639624697693,0.9727560142827609,0.12436076071457397,0.04455864190085313,1204.5816911280333,4.986806654597658,0.0,9.248934758937236e-08,0.5140000000000458,0.3326633913937493
36,378.37715818914705,6.773524232589234,166.35884852451184,0.12284095258591068,0.0033125595796125013,0.0372546138395177,0.00012179430952588327,0.10356723608864123,0.9711002781439299,0.9686702624913406,0.12038628875221721,0.04192837235909278,1203.3873634253016,5.020744751586067,0.0,3.67575415704198e-08,0.5140000000000458,0.31690362384994064
37,376.31757983309643,6.5055531372728135,165.7444703145161,0.1231300613655285,0.003236726738624269,0.035780817932284534,0.0006476155988596809,0.09879389288845768,0.971502728566572,0.9583958650564575,0.12116158960035844,0.040999712094734166,1203.8856351203879,4.997515092032432,0.0,2.454111523063441e-07,0.5140000000000458,0.32598287690393846
38,375.6436766367102,5.761304195338541,169.08216726244734,0.11823345490398747,0.0028628701030894398,0.031687432843793856,6.679512010012726e-05,0.08729683858492898,0.9699978139472445,0.9893129594249453,0.12077362394605232,0.037613174834158034,1202.0220958411605,5.181314901474406,0.0,2.04739064049509e-08,0.5140000000000458,0.3042114619418779
39,375.7169705657567,5.310442548175327,171.93367610873284,0.1130951834899291,0.0025905456561048992,0.02920777246188774,6.764869066179543e-05,0.07923118045624825,0.969531796072516,0.9680440854524133,0.11766235435044993,0.03464934774629636,1201.4437397051122,5.295921624360713,0.0,1.94180777706477e-08,0.5140000000000458,0.2979959546248706
40,377.0584615555019,4.74377446996993,175.35083943618554,0.11055435687622865,0.0023362722894751343,0.026091067075835896,3.394099914538759e-05,0.07071225188787687,0.9694402610793617,0.9713238782005403,0.11774815321578745,0.03207236419541013,1201.3304500135964,5.450150346171902,0.0,8.911366984398532e-09,0.5140000000000458,0.2888109781322416
41,378.3739500529335,4.693386309504339,175.27131216328982,0.12153821358330645,0.002553371111204526,0.025813559473042282,0.0002086721186341611,0.07456627462679014,0.9721744794363509,0.9732408326964305,0.1267499987378522,0.03439528393777684,1204.7186593489187,5.357144305551169,0.0,6.600587964325912e-08,0.5140000000000458,0.31511304029408155
42,378.6114227682279,5.106097809938151,175.4759592818808,0.1294428704572284,0.0028834903224327006,0.028083221192448656,0.0006674931613457262,0.08418701798714849,0.9738423440097723,0.9690747551710661,0.1312902480848998,0.037793983236607334,1206.7852340473787,5.214543850895005,0.0,2.4166974938712435e-07,0.5140000000000458,0.3380454440849388
43,378.68542104181375,5.356358257575833,177.61168162353454,0.12751148997317685,0.0029454241611058473,0.02945959822338577,0.00034850478495686315,0.08881061245563882,0.9734135535237459,0.9837158215708829,0.12925290103893256,0.038558668467542676,1206.2545047877954,5.215556872293254,0.0,1.157448421492988e-07,0.5140000000000458,0.32615674947509965
44,377.13667152887064,6.264039135111372,176.8314223137723,0.1242836696214397,0.0031812049729994262,0.03445189636572963,6.107074205828832e-05,0.10240960373909948,0.9734356425742756,0.9591539206425919,0.1229686780881561,0.04057923643897382,1206.2808532062961,5.04357946610572,0.0,1.651946467801777e-08,0.5140000000000458,0.31511781446640724
45,375.51338060954237,6.699790461143946,175.48655629313458,0.12468117452620335,0.003336050903901523,0.036848549611688826,0.0003544149345909676,0.10899595497932761,0.9730687736920768,0.9665643089754141,0.12229368204080009,0.04205565145175092,1205.8265533398549,4.970593281892563,0.0,1.2332900211959352e-07,0.5140000000000458,0.3266241655063449
