Years,A,B,DOC,Fa,Fal,Fbm,Fl,Flb,Fld,Flm,Fpa,Fpl,M,P,ksstr,lk,phi,s
1,779.6404919464852,86.9815200635832,75.33914968822191,0.26113897965666855,0.01702463468675705,0.47844069506906156,8.898525395417545e-05,0.8391639264492116,0.9364951120174656,0.9935118046366304,0.18675906541728673,0.46686837359903394,1160.5071185075715,31.925600467721605,0.7689899772002635,7.274044240821083e-08,0.5854433308000297,0.3175727005782831
2,723.9552422617063,39.82622027298137,77.592340814402,0.2461171754755414,0.013992473305064071,0.21906305713078542,0.00016592797219926097,0.39093595266447356,0.9415718879036024,0.9584308856272544,0.10787771333141778,0.17921316261797782,1166.7965859483786,10.150687834501198,0.7107633561761008,1.3777886033483705e-07,0.5789737062417887,0.3254388636462857
3,674.8075867966614,20.093113960292552,89.44580555117939,0.23648233449762032,0.010965538793533562,0.11051947936907301,0.0004092058189163508,0.22410131812669862,0.94910294865991,0.9929010523458571,0.12889037334825962,0.14784451393780523,1176.1301989003507,9.948463040692863,0.6407350780774749,3.28609561858169e-07,0.5711927864530519,0.3352107358668217
4,640.2637096103571,11.487600840383612,107.50559915264796,0.20111238299590256,0.007257895554027402,0.06318542378294771,4.5193059766192415e-05,0.1354077769913555,0.9535242909145203,0.9712473528321737,0.13278964964164386,0.1068604336650255,1181.608039762186,10.348649956331725,0.5794345224342785,2.1370425836260404e-08,0.5643816136038087,0.30204995697298936
5,615.2164932625151,7.998864089708214,120.18339898489927,0.2042480935059948,0.006078622377817922,0.04399511905329918,0.00014258813871277577,0.10866271017772677,0.9607782577863729,0.9738142260846763,0.150265446020094,0.09347922226343146,1190.596960214223,10.385022034038954,0.5286184209077636,6.962265854329318e-08,0.558735380100863,0.31847173477606494
6,594.646320208175,6.965365637886281,131.53060777906472,0.21259772491796888,0.005820918228708129,0.03830961504048995,0.0002822586205258338,0.1081590191952371,0.9665241144241857,0.9804898184795751,0.16445578735019753,0.08941015983283249,1197.7172644987902,9.989864607590388,0.483517858214533,1.2351016458126883e-07,0.5537242064682835,0.3461043658809676
7,576.6816297904071,6.944116301141063,144.11834965714365,0.1957311076955013,0.005349427925746782,0.03819256061451014,0.00021149887613788938,0.11010705753291852,0.9680927217152736,0.9712401090327891,0.15571253988311318,0.08087981043941314,1199.6606318907131,9.498945543669334,0.44221491040607763,8.572226996521707e-08,0.549134990045121,0.326018433297012
8,560.0628843243312,7.5529127966467255,151.3721770803993,0.20126092620548577,0.005803907014904993,0.04154021460754976,0.0006336929465972015,0.1287323410445832,0.9707403070817252,0.9890348038377567,0.15961339470296995,0.0841014903713084,1202.9421508063724,8.79954564092068,0.40293748775028077,2.6586886393363306e-07,0.5447708319722521,0.350770978754664
9,542.1429324060617,9.068802183387646,155.9974215598706,0.18377244092921502,0.0058920617048692225,0.04987785746654058,0.0005676182167178749,0.14942193571938284,0.9711334654577991,0.9397583539240595,0.14311701458359127,0.08065462212986806,1203.4272830989823,7.982909455964552,0.36011813285998473,2.5017514857630926e-07,0.54001312587333,0.3351950917803056
10,526.2999722337831,9.705338183490175,157.90993102451455,0.18119977809497867,0.006047848849115895,0.05337866266353836,0.00021175504457118506,0.16120464437876733,0.9705821648570334,0.9949930547842039,0.14258304161099283,0.08074184897258418,1202.7464358112527,7.531054470500911,0.32246972442351507,7.770193552113595e-08,0.535829969380391,0.33121824628937757
11,510.1150992387773,10.434073620983826,157.28199070978494,0.16324416032918046,0.005667530141453021,0.05738762858216224,4.9603532635368956e-05,0.16117608061012528,0.969903076583922,0.9391696851129884,0.12894201883847306,0.07350993107564593,1201.9026119448172,7.05547294258426,0.2848174273624496,1.513205912342203e-08,0.5316463808180505,0.30919708813730334
12,495.4557513516139,10.437965562531842,154.6879140390681,0.17149977676484562,0.005953386612773885,0.05740865363274993,8.245975381922016e-05,0.1659816432170866,0.9702968749024669,0.9898773165290905,0.13703641921200974,0.07583328178477215,1202.3927032308673,6.704526246202176,0.25191436835842046,2.6405072368458856e-08,0.5279904853731611,0.33029299592082667
13,482.915730412989,9.485480067319628,157.37279296505884,0.14936577029887227,0.004917714388139089,0.05217100715114617,2.1485019314888646e-05,0.13825340156882035,0.9677703059525898,0.9760618446595766,0.12522230297367135,0.06406338102513755,1199.2613086172232,6.6871477157345085,0.2249545287058655,6.558445064904532e-09,0.5249949476339844,0.29590603882300553
14,472.7405494455476,8.481600215015284,157.36674259283478,0.14995537106990153,0.004639181994413165,0.046649446301020706,6.842326537213138e-05,0.1252410972339467,0.9692956660577425,0.9482885416983021,0.12832579903706484,0.060518503208340076,1201.150314081902,6.555043571483481,0.20409675298356925,2.2620976997991854e-08,0.5226774169981739,0.3075390852154282
15,464.0814806745659,7.702936836329134,159.11561021101676,0.15591736530415415,0.004550481744318288,0.04236630886904485,9.503107406755286e-05,0.11909830501377898,0.970269374273248,0.981017485096526,0.13652932805317589,0.05974596502912616,1202.3582564373612,6.475798375019814,0.1871244246884554,3.249498119285259e-08,0.5207916027431613,0.3228757002789897
16,456.64020034415313,6.9836834763440905,164.15933727875066,0.1420953124853037,0.0038949429521088707,0.03841082689574269,0.0007760563007428038,0.10266645585506108,0.9690188832424851,0.97315306971001,0.12928913608568343,0.0524044966887102,1200.8083723718607,6.534446346757483,0.17313519009139344,3.239428683962062e-07,0.5192372433434893,0.3151239408626302
